@RELATION training_BOOKKEEPER_4.2.2

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
2,46,23,45,45,21,10.5,20,1,NO_BUG
2,171,85,166,168,25,12.5,15,2,NO_BUG
1,77,77,77,77,15,15.0,14,1,NO_BUG
0,0,0,0,665,0,?,0,1,NO_BUG
1,33,33,33,88,21,21.0,20,2,NO_BUG
5,25,5,9,260,52,10.4,40,4,NO_BUG
0,0,0,0,54,0,?,0,3,NO_BUG
2,30,15,15,48,12,6.0,11,2,NO_BUG
2,42,21,33,140,11,5.5,6,3,NO_BUG
2,152,76,129,152,64,32.0,42,1,NO_BUG
0,0,0,0,39,0,?,0,2,NO_BUG
1,131,131,131,131,23,23.0,22,1,NO_BUG
1,47,47,47,47,15,15.0,14,1,NO_BUG
2,64,32,60,129,32,16.0,22,4,NO_BUG
1,43,43,43,43,15,15.0,14,1,NO_BUG
4,182,45,90,243,45,11.25,22,2,NO_BUG
0,0,0,0,92,0,?,0,3,NO_BUG
0,0,0,0,174,0,?,0,2,NO_BUG
0,0,0,0,148,0,?,0,2,NO_BUG
4,577,144,234,503,20,5.0,12,1,BUG
6,415,69,269,325,38,6.3333335,20,2,NO_BUG
7,301,43,267,273,40,5.714286,20,2,NO_BUG
3,142,47,139,136,29,9.666667,20,2,NO_BUG
1,56,56,56,56,8,8.0,7,1,NO_BUG
3,81,27,63,74,13,4.3333335,10,2,NO_BUG
8,466,58,289,357,24,3.0,10,1,NO_BUG
2,26,13,13,248,12,6.0,11,2,NO_BUG
2,62,31,41,275,9,4.5,6,4,NO_BUG
1,4,4,4,176,16,16.0,15,3,NO_BUG
13,188,14,49,624,93,7.1538463,40,4,NO_BUG
1,3,3,3,91,12,12.0,11,2,NO_BUG
0,0,0,0,58,0,?,0,1,NO_BUG
1,1,1,1,132,2,2.0,1,4,NO_BUG
7,4114,587,1493,4088,53,7.571429,20,2,NO_BUG
2,33,16,31,558,51,25.5,40,4,NO_BUG
9,120,13,43,727,60,6.6666665,40,4,NO_BUG
2,8,4,4,150,12,6.0,11,2,NO_BUG
1,77,77,77,77,6,6.0,5,1,NO_BUG
1,94,94,94,94,6,6.0,5,1,NO_BUG
1,337,337,337,337,6,6.0,5,1,NO_BUG
1,79,79,79,79,17,17.0,16,1,NO_BUG
1,25,25,25,25,17,17.0,16,1,NO_BUG
1,84,84,84,84,17,17.0,16,1,NO_BUG
1,34,34,34,34,17,17.0,16,1,NO_BUG
1,33,33,33,33,17,17.0,16,1,NO_BUG
1,104,104,104,104,17,17.0,16,1,NO_BUG
1,172,172,172,172,17,17.0,16,1,NO_BUG
1,70,70,70,70,17,17.0,16,1,NO_BUG
1,140,140,140,140,5,5.0,4,1,NO_BUG
1,214,214,214,214,17,17.0,16,1,NO_BUG
1,154,154,154,154,17,17.0,16,1,NO_BUG
7,203,29,129,301,102,14.571428,42,3,NO_BUG
5,49,9,25,153,89,17.8,42,3,BUG
4,97,24,72,92,64,16.0,42,2,NO_BUG
5,128,25,102,466,89,17.8,42,3,BUG
4,98,24,72,93,64,16.0,42,2,NO_BUG
5,78,15,53,244,92,18.4,42,3,NO_BUG
2,135,67,96,192,49,24.5,42,2,NO_BUG
4,236,59,145,250,64,16.0,42,2,NO_BUG
3,109,36,64,109,23,7.6666665,12,1,NO_BUG
2,752,376,691,601,31,15.5,22,2,NO_BUG
13,627,48,394,565,44,3.3846154,20,3,NO_BUG
2,72,36,65,69,49,24.5,42,1,NO_BUG
0,0,0,0,27,0,?,0,1,NO_BUG
1,3,3,3,89,2,2.0,1,1,NO_BUG
5,127,25,54,236,64,12.8,42,3,NO_BUG
4,74,18,36,314,24,6.0,20,2,NO_BUG
7,178,25,50,694,39,5.571429,15,3,BUG
0,0,0,0,139,0,?,0,3,NO_BUG
4,44,11,11,326,53,13.25,42,3,BUG
3,122,40,111,314,29,9.666667,20,4,NO_BUG
11,129,11,73,648,112,10.181818,42,4,BUG
13,319,24,101,778,104,8.0,42,3,NO_BUG
0,0,0,0,55,0,?,0,2,NO_BUG
1,7,7,7,191,11,11.0,10,4,NO_BUG
2,38,19,25,90,22,11.0,20,3,NO_BUG
4,285,71,274,273,26,6.5,20,1,NO_BUG
4,16,4,9,137,66,16.5,42,4,NO_BUG
3,13,4,6,79,51,17.0,42,4,NO_BUG
1,0,0,0,82,3,3.0,2,3,NO_BUG
5,168,33,112,147,16,3.2,7,2,NO_BUG
4,517,129,298,422,14,3.5,7,1,NO_BUG
12,338,28,164,978,99,8.25,42,4,BUG
9,273,30,154,467,108,12.0,42,4,BUG
3,56,18,42,189,49,16.333334,42,4,NO_BUG
2,2,1,1,153,51,25.5,40,4,BUG
0,0,0,0,84,0,?,0,3,NO_BUG
5,60,12,42,182,37,7.4,20,4,BUG
12,438,36,139,358,72,6.0,40,4,NO_BUG
4,13,3,4,126,51,12.75,40,3,NO_BUG
2,31,15,28,106,6,3.0,5,2,NO_BUG
2,36,18,30,109,22,11.0,20,3,NO_BUG
0,0,0,0,85,0,?,0,2,NO_BUG
19,696,36,175,1242,129,6.7894735,42,4,BUG
0,0,0,0,51,0,?,0,2,NO_BUG
1,5,5,5,154,21,21.0,20,4,NO_BUG
0,0,0,0,31,0,?,0,2,NO_BUG
5,945,189,684,928,45,9.0,20,3,NO_BUG
0,0,0,0,180,0,?,0,2,NO_BUG
3,101,33,88,260,40,13.333333,20,2,NO_BUG
6,123,20,62,551,37,6.1666665,15,4,NO_BUG
0,0,0,0,40,0,?,0,1,NO_BUG
3,109,36,63,361,26,8.666667,14,3,NO_BUG
3,25,8,11,388,22,7.3333335,20,3,NO_BUG
1,51,51,51,51,23,23.0,22,1,NO_BUG
9,134,14,67,577,92,10.222222,42,3,NO_BUG
0,0,0,0,32,0,?,0,1,NO_BUG
0,0,0,0,66,0,?,0,1,NO_BUG
8,41,5,13,188,84,10.5,42,3,NO_BUG
7,33,4,10,582,57,8.142858,40,3,NO_BUG
1,2,2,2,158,13,13.0,12,1,NO_BUG
