@RELATION training_BOOKKEEPER_4.0.0

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
2,134,67,104,104,342,171.0,281,2,NO_BUG
1,35,35,35,35,282,282.0,281,1,NO_BUG
2,99,49,98,98,342,171.0,281,2,NO_BUG
3,94,31,78,79,349,116.333336,281,2,NO_BUG
4,208,52,187,197,350,87.5,281,3,NO_BUG
2,81,40,75,75,342,171.0,281,2,NO_BUG
1,28,28,28,28,282,282.0,281,1,NO_BUG
2,54,27,52,52,342,171.0,281,2,NO_BUG
3,506,168,428,429,349,116.333336,281,2,NO_BUG
4,472,118,450,452,349,87.25,281,2,NO_BUG
1,39,39,39,39,282,282.0,281,1,NO_BUG
2,82,41,78,78,342,171.0,281,2,NO_BUG
2,65,32,64,64,342,171.0,281,2,NO_BUG
2,32,16,31,31,342,171.0,281,2,NO_BUG
2,61,30,57,57,342,171.0,281,2,NO_BUG
2,111,55,104,104,342,171.0,281,2,NO_BUG
1,32,32,32,32,282,282.0,281,1,NO_BUG
3,279,93,226,227,349,116.333336,281,2,NO_BUG
1,53,53,53,53,282,282.0,281,1,NO_BUG
2,50,25,48,48,287,143.5,281,2,NO_BUG
2,61,30,60,60,342,171.0,281,2,NO_BUG
3,76,25,70,70,346,115.333336,281,2,NO_BUG
4,202,50,180,183,353,88.25,281,2,NO_BUG
2,127,63,124,124,342,171.0,281,2,NO_BUG
4,167,41,159,160,353,88.25,281,2,NO_BUG
2,41,20,36,36,342,171.0,281,2,NO_BUG
2,60,30,57,58,328,164.0,281,2,NO_BUG
1,62,62,62,62,282,282.0,281,1,NO_BUG
4,142,35,129,130,353,88.25,281,2,NO_BUG
2,76,38,73,74,328,164.0,281,2,NO_BUG
3,86,28,82,83,349,116.333336,281,2,NO_BUG
1,74,74,74,74,282,282.0,281,1,NO_BUG
3,886,295,736,737,349,116.333336,281,2,NO_BUG
2,76,38,74,74,342,171.0,281,2,NO_BUG
3,97,32,93,94,349,116.333336,281,2,NO_BUG
1,22,22,22,22,282,282.0,281,1,NO_BUG
3,439,146,426,427,349,116.333336,281,2,NO_BUG
1,62,62,62,62,282,282.0,281,1,NO_BUG
2,96,48,91,91,342,171.0,281,2,NO_BUG
2,28,14,27,27,342,171.0,281,2,NO_BUG
2,59,29,58,58,342,171.0,281,2,NO_BUG
2,79,39,77,77,342,171.0,281,2,NO_BUG
3,742,247,703,704,349,116.333336,281,2,NO_BUG
2,67,33,63,63,342,171.0,281,2,NO_BUG
1,37,37,37,37,282,282.0,281,1,NO_BUG
2,65,32,64,64,342,171.0,281,2,NO_BUG
6,400,66,364,385,360,60.0,281,3,NO_BUG
2,78,39,76,76,342,171.0,281,2,NO_BUG
3,163,54,158,159,349,116.333336,281,2,NO_BUG
2,80,40,64,64,342,171.0,281,2,NO_BUG
2,30,15,29,29,342,171.0,281,2,NO_BUG
2,65,32,64,64,342,171.0,281,2,NO_BUG
2,40,20,37,37,342,171.0,281,2,NO_BUG
2,79,39,68,68,342,171.0,281,2,NO_BUG
3,165,55,153,154,349,116.333336,281,2,NO_BUG
2,73,36,72,72,342,171.0,281,2,NO_BUG
1,81,81,81,81,282,282.0,281,1,NO_BUG
1,27,27,27,27,282,282.0,281,1,NO_BUG
1,28,28,28,28,282,282.0,281,1,NO_BUG
2,30,15,29,29,342,171.0,281,2,NO_BUG
4,600,150,561,566,349,87.25,281,3,NO_BUG
1,45,45,45,45,282,282.0,281,1,NO_BUG
2,290,145,289,289,342,171.0,281,2,NO_BUG
2,35,17,31,32,328,164.0,281,2,NO_BUG
1,111,111,111,111,282,282.0,281,1,NO_BUG
2,36,18,35,35,342,171.0,281,2,NO_BUG
3,155,51,104,105,349,116.333336,281,2,NO_BUG
5,148,29,103,105,361,72.2,281,3,NO_BUG
4,126,31,91,92,350,87.5,281,3,NO_BUG
3,151,50,100,101,349,116.333336,281,2,NO_BUG
2,155,77,153,153,342,171.0,281,2,NO_BUG
1,43,43,43,43,282,282.0,281,1,NO_BUG
2,42,21,41,41,342,171.0,281,2,NO_BUG
2,12222,6111,6127,6367,176,88.0,171,2,NO_BUG
2,163,81,162,162,342,171.0,281,2,NO_BUG
2,51,25,47,47,342,171.0,281,2,NO_BUG
4,203,50,185,183,354,88.5,281,3,NO_BUG
1,49,49,49,49,282,282.0,281,1,NO_BUG
1,50,50,50,50,282,282.0,281,1,NO_BUG
2,100,50,97,98,328,164.0,281,2,NO_BUG
1,138,138,138,138,282,282.0,281,1,NO_BUG
1,43,43,43,43,282,282.0,281,1,NO_BUG
1,42,42,42,42,282,282.0,281,1,NO_BUG
1,56,56,56,56,282,282.0,281,1,NO_BUG
3,55,18,45,54,358,119.333336,281,3,NO_BUG
1,72,72,72,72,31,31.0,30,1,NO_BUG
1,41,41,41,41,282,282.0,281,1,NO_BUG
2,79,39,65,66,342,171.0,281,2,NO_BUG
3,63,21,58,58,346,115.333336,281,2,NO_BUG
4,130,32,122,123,353,88.25,281,2,NO_BUG
1,369,369,369,369,31,31.0,30,1,NO_BUG
5,243,48,224,231,353,70.6,281,2,NO_BUG
4,645,161,585,586,353,88.25,281,2,NO_BUG
5,390,78,365,366,355,71.0,281,2,NO_BUG
4,108,27,98,99,353,88.25,281,2,NO_BUG
4,107,26,95,96,353,88.25,281,2,NO_BUG
4,78,19,70,71,353,88.25,281,2,NO_BUG
3,91,30,87,88,349,116.333336,281,2,NO_BUG
4,123,30,113,114,353,88.25,281,2,NO_BUG
6,414,69,329,336,353,58.833332,281,3,NO_BUG
4,93,23,83,84,353,88.25,281,2,NO_BUG
1,37,37,37,37,282,282.0,281,1,NO_BUG
2,40,20,38,38,342,171.0,281,2,NO_BUG
2,40,20,39,39,342,171.0,281,2,NO_BUG
2,59,29,58,58,342,171.0,281,2,NO_BUG
2,152,76,149,149,342,171.0,281,2,NO_BUG
2,78,39,74,74,342,171.0,281,2,NO_BUG
3,152,50,148,149,349,116.333336,281,2,NO_BUG
3,139,46,133,133,346,115.333336,281,2,NO_BUG
4,150,37,136,137,353,88.25,281,2,NO_BUG
3,181,60,176,177,349,116.333336,281,2,NO_BUG
2,47,23,46,46,342,171.0,281,2,NO_BUG
5,137,27,127,128,353,70.6,281,3,NO_BUG
1,42,42,42,42,31,31.0,30,1,NO_BUG
3,56,18,48,48,346,115.333336,281,2,NO_BUG
2,67,33,63,63,342,171.0,281,2,NO_BUG
2,257,128,237,237,342,171.0,281,2,NO_BUG
6,438,73,209,234,220,36.666668,171,3,NO_BUG
3,59,19,54,54,201,67.0,171,3,NO_BUG
2,43,21,38,38,181,90.5,171,2,NO_BUG
2,102,51,98,98,181,90.5,171,2,NO_BUG
3,49,16,38,39,193,64.333336,171,2,NO_BUG
3,98,32,94,69,201,67.0,171,3,NO_BUG
1,94,94,94,94,36,36.0,35,1,NO_BUG
6,834,139,763,92,193,32.166668,171,3,NO_BUG
3,184,61,173,174,193,64.333336,171,2,NO_BUG
3,158,52,147,148,193,64.333336,171,2,NO_BUG
7,203,29,178,181,205,29.285715,171,3,NO_BUG
4,162,40,75,154,186,46.5,171,3,NO_BUG
11,489,44,209,393,220,20.0,171,3,NO_BUG
3,139,46,75,132,201,67.0,171,3,NO_BUG
8,556,69,521,533,205,25.625,171,3,NO_BUG
9,683,75,573,603,205,22.777779,171,3,NO_BUG
1,148,148,148,148,63,63.0,62,1,NO_BUG
2,255,127,251,253,39,19.5,35,1,NO_BUG
1,193,193,193,193,36,36.0,35,1,NO_BUG
