@RELATION training_ZOOKEEPER_3.0.1

@ATTRIBUTE numberRevision NUMERIC
@ATTRIBUTE locAdded NUMERIC
@ATTRIBUTE avgLocAdded NUMERIC
@ATTRIBUTE maxLocAdded NUMERIC
@ATTRIBUTE size NUMERIC
@ATTRIBUTE chgSetSize NUMERIC
@ATTRIBUTE avgChgSetSize NUMERIC
@ATTRIBUTE maxChgSetSize NUMERIC
@ATTRIBUTE authors NUMERIC
@ATTRIBUTE class {BUG,NO_BUG}

@DATA
7,315,45,243,225,209,29.857143,159,3,NO_BUG
4,163,40,142,132,67,16.75,38,2,NO_BUG
3,87,29,76,78,192,64.0,159,1,NO_BUG
4,67,16,53,55,206,51.5,159,2,NO_BUG
3,91,30,80,82,192,64.0,159,1,NO_BUG
4,67,16,53,55,206,51.5,159,2,NO_BUG
7,166,23,107,115,209,29.857143,159,3,NO_BUG
3,36,12,27,29,192,64.0,159,1,NO_BUG
4,182,45,173,175,192,48.0,159,2,NO_BUG
3,42,14,34,36,192,64.0,159,1,NO_BUG
5,125,25,109,112,195,39.0,159,3,NO_BUG
3,74,24,66,68,192,64.0,159,1,NO_BUG
5,105,21,89,88,206,41.2,159,2,NO_BUG
3,52,17,44,46,192,64.0,159,1,NO_BUG
4,130,32,95,117,197,49.25,159,2,NO_BUG
3,80,26,72,74,192,64.0,159,1,NO_BUG
3,34,11,26,28,192,64.0,159,1,NO_BUG
3,32,10,24,26,192,64.0,159,1,NO_BUG
3,35,11,27,29,192,64.0,159,1,NO_BUG
3,50,16,41,43,192,64.0,159,1,NO_BUG
3,40,13,32,34,192,64.0,159,1,NO_BUG
3,32,10,24,26,192,64.0,159,1,NO_BUG
4,61,15,46,53,197,49.25,159,2,NO_BUG
3,41,13,32,34,192,64.0,159,1,NO_BUG
3,52,17,42,44,192,64.0,159,1,NO_BUG
3,39,13,31,33,192,64.0,159,1,NO_BUG
3,53,17,43,45,192,64.0,159,1,NO_BUG
3,39,13,31,33,192,64.0,159,1,NO_BUG
3,45,15,36,38,192,64.0,159,1,NO_BUG
3,39,13,31,33,192,64.0,159,1,NO_BUG
0,0,0,0,52,0,?,0,1,NO_BUG
2,196,98,98,1045,6,3.0,5,4,NO_BUG
0,0,0,0,39,0,?,0,2,NO_BUG
0,0,0,0,89,0,?,0,1,NO_BUG
0,0,0,0,336,0,?,0,1,NO_BUG
0,0,0,0,312,0,?,0,2,NO_BUG
0,0,0,0,78,0,?,0,1,NO_BUG
0,0,0,0,81,0,?,0,1,NO_BUG
0,0,0,0,107,0,?,0,1,NO_BUG
0,0,0,0,112,0,?,0,2,NO_BUG
3,18,6,8,1033,15,5.0,10,3,NO_BUG
0,0,0,0,232,0,?,0,2,NO_BUG
0,0,0,0,120,0,?,0,2,NO_BUG
0,0,0,0,72,0,?,0,1,NO_BUG
2,2,1,1,125,3,1.5,2,3,NO_BUG
0,0,0,0,798,0,?,0,3,NO_BUG
0,0,0,0,265,0,?,0,4,NO_BUG
0,0,0,0,72,0,?,0,2,NO_BUG
1,18,18,18,873,11,11.0,10,4,NO_BUG
0,0,0,0,460,0,?,0,4,NO_BUG
0,0,0,0,94,0,?,0,2,NO_BUG
0,0,0,0,197,0,?,0,4,NO_BUG
0,0,0,0,37,0,?,0,1,NO_BUG
1,2,2,2,78,11,11.0,10,2,NO_BUG
2,6,3,3,67,7,3.5,6,2,NO_BUG
0,0,0,0,140,0,?,0,2,NO_BUG
0,0,0,0,58,0,?,0,1,NO_BUG
0,0,0,0,219,0,?,0,3,NO_BUG
2,34,17,17,144,3,1.5,2,4,NO_BUG
0,0,0,0,119,0,?,0,2,NO_BUG
0,0,0,0,113,0,?,0,1,NO_BUG
1,8,8,8,610,11,11.0,10,4,NO_BUG
2,16,8,8,86,7,3.5,6,2,NO_BUG
0,0,0,0,92,0,?,0,2,NO_BUG
0,0,0,0,40,0,?,0,1,NO_BUG
0,0,0,0,105,0,?,0,1,NO_BUG
0,0,0,0,129,0,?,0,1,NO_BUG
0,0,0,0,582,0,?,0,1,NO_BUG
0,0,0,0,181,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
0,0,0,0,323,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,898,0,?,0,3,NO_BUG
0,0,0,0,189,0,?,0,4,NO_BUG
0,0,0,0,26,0,?,0,2,NO_BUG
0,0,0,0,626,0,?,0,4,NO_BUG
0,0,0,0,378,0,?,0,3,NO_BUG
0,0,0,0,395,0,?,0,4,NO_BUG
0,0,0,0,107,0,?,0,4,NO_BUG
0,0,0,0,85,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,2,NO_BUG
0,0,0,0,177,0,?,0,4,NO_BUG
0,0,0,0,633,0,?,0,4,NO_BUG
0,0,0,0,194,0,?,0,3,NO_BUG
0,0,0,0,88,0,?,0,3,NO_BUG
0,0,0,0,76,0,?,0,3,NO_BUG
0,0,0,0,564,0,?,0,3,NO_BUG
0,0,0,0,590,0,?,0,4,NO_BUG
2,258,129,129,222,7,3.5,6,3,NO_BUG
2,12,6,6,115,7,3.5,6,2,NO_BUG
0,0,0,0,81,0,?,0,2,NO_BUG
0,0,0,0,54,0,?,0,1,NO_BUG
0,0,0,0,69,0,?,0,2,NO_BUG
0,0,0,0,159,0,?,0,3,NO_BUG
0,0,0,0,485,0,?,0,2,NO_BUG
0,0,0,0,246,0,?,0,3,NO_BUG
0,0,0,0,60,0,?,0,2,NO_BUG
0,0,0,0,115,0,?,0,1,NO_BUG
0,0,0,0,305,0,?,0,3,NO_BUG
0,0,0,0,81,0,?,0,1,NO_BUG
0,0,0,0,127,0,?,0,1,NO_BUG
0,0,0,0,67,0,?,0,1,NO_BUG
0,0,0,0,115,0,?,0,1,NO_BUG
0,0,0,0,78,0,?,0,2,NO_BUG
0,0,0,0,132,0,?,0,1,NO_BUG
0,0,0,0,149,0,?,0,1,NO_BUG
0,0,0,0,210,0,?,0,1,NO_BUG
0,0,0,0,151,0,?,0,2,NO_BUG
0,0,0,0,39,0,?,0,1,NO_BUG
0,0,0,0,45,0,?,0,1,NO_BUG
0,0,0,0,48,0,?,0,1,NO_BUG
0,0,0,0,33,0,?,0,1,NO_BUG
0,0,0,0,98,0,?,0,1,NO_BUG
0,0,0,0,117,0,?,0,1,NO_BUG
0,0,0,0,278,0,?,0,2,NO_BUG
0,0,0,0,251,0,?,0,1,NO_BUG
0,0,0,0,252,0,?,0,1,NO_BUG
0,0,0,0,88,0,?,0,1,NO_BUG
0,0,0,0,83,0,?,0,1,NO_BUG
0,0,0,0,62,0,?,0,1,NO_BUG
0,0,0,0,43,0,?,0,1,NO_BUG
0,0,0,0,107,0,?,0,1,NO_BUG
0,0,0,0,35,0,?,0,1,NO_BUG
0,0,0,0,55,0,?,0,1,NO_BUG
0,0,0,0,41,0,?,0,1,NO_BUG
0,0,0,0,99,0,?,0,1,NO_BUG
0,0,0,0,75,0,?,0,1,NO_BUG
0,0,0,0,40,0,?,0,1,NO_BUG
0,0,0,0,35,0,?,0,1,NO_BUG
0,0,0,0,39,0,?,0,1,NO_BUG
0,0,0,0,101,0,?,0,1,NO_BUG
0,0,0,0,508,0,?,0,1,NO_BUG
0,0,0,0,47,0,?,0,1,NO_BUG
0,0,0,0,142,0,?,0,1,NO_BUG
0,0,0,0,106,0,?,0,1,NO_BUG
0,0,0,0,210,0,?,0,1,NO_BUG
0,0,0,0,525,0,?,0,1,NO_BUG
0,0,0,0,88,0,?,0,1,NO_BUG
0,0,0,0,833,0,?,0,1,NO_BUG
0,0,0,0,457,0,?,0,1,NO_BUG
0,0,0,0,99,0,?,0,1,NO_BUG
0,0,0,0,151,0,?,0,1,NO_BUG
0,0,0,0,125,0,?,0,3,NO_BUG
2,16,8,8,86,7,3.5,6,2,NO_BUG
0,0,0,0,115,0,?,0,2,NO_BUG
0,0,0,0,85,0,?,0,1,NO_BUG
0,0,0,0,56,0,?,0,3,NO_BUG
0,0,0,0,76,0,?,0,1,NO_BUG
0,0,0,0,38,0,?,0,1,NO_BUG
0,0,0,0,53,0,?,0,1,NO_BUG
0,0,0,0,30,0,?,0,1,NO_BUG
0,0,0,0,34,0,?,0,1,NO_BUG
0,0,0,0,95,0,?,0,1,NO_BUG
0,0,0,0,69,0,?,0,1,NO_BUG
0,0,0,0,38,0,?,0,1,NO_BUG
0,0,0,0,61,0,?,0,1,NO_BUG
0,0,0,0,225,0,?,0,3,NO_BUG
2,12,6,6,137,7,3.5,6,2,NO_BUG
0,0,0,0,78,0,?,0,1,NO_BUG
0,0,0,0,55,0,?,0,2,NO_BUG
0,0,0,0,82,0,?,0,1,NO_BUG
0,0,0,0,55,0,?,0,2,NO_BUG
0,0,0,0,115,0,?,0,3,NO_BUG
